title,brand,variant_size,dmart_price_inr,mrp_inr,discount_off_inr,unit_price,in_stock,image_url,product_url
Dabur Meswak Toothpaste : 400 g,Dabur,400 g,211.0,267.0,56.0,(₹ 0.56 / 1 g),True,https://cdn.dmart.in/images/products/MAY140001228xx24MAY24_5_P.jpg,https://www.dmart.in/product/dabur-meswak-toothpaste?selectedProd=CwdhAZxAfAHBTATgZwPYDsCGAbAtAY00XlwCN5MBXAFwE8B6VRHAokzeZfXJnQ4+tVSpqAC1iZk1dp25CR4ydK4AmIA
Pepsodent Germi Check Cavity Protection : 2x150 g,Pepsodent,300 g,195.0,208.0,13.0,(₹ 0.65 / 1 g),True,https://cdn.dmart.in/images/products/FEB140000707xx2FEB26vvG150g_5_P.jpg,https://www.dmart.in/product/pepsodent-germicheck-toothpaste?selectedProd=IwJg7AbBA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Sensodyne Fresh Gel Toothpaste : 150 g,Sensodyne,150 g,229.0,245.0,16.0,(₹ 1.53 / 1 g),True,https://cdn.dmart.in/images/products/JUL140000713xx3JUL25vvG150g_5_P.jpg,https://www.dmart.in/product/sensodyne-fresh-gel-toothpaste?selectedProd=IwJg7GID4A4KYCcDOB7AdgQwDYFoDGGCcOARnBgK4AuAngPQoLb6HEZxJ46PYFF1UUKKgAsYGJFTYcug4WIlTOIIA
Colgate Swarna Vedshakti Toothpaste : 2x200 g,Colgate,400 g,201.0,365.0,164.0,(₹ 0.54 / 1 g),True,https://cdn.dmart.in/images/products/FEB140001542xx25FEB26_5_P.jpg,https://www.dmart.in/product/colgate-swarna-vedshakti-toothpaste-ptoothpasteclg3236xx30318?selectedProd=GwdgDArAjAzAPgBwKYCcDOB7AdgQwDYC0AxjikgQEZI4CuALgJ4D0GK+xp5OSaRBr+EmSZ0MGOgAsEONHS48+o8VJlzeAJiA
Colgate Visible White Purple Toothpaste : 240 g,Colgate,240 g,268.0,395.0,127.0,(₹ 1.12 / 1 g),True,https://cdn.dmart.in/images/products/NOV140006054xx29NOV24_5_P.jpg,https://www.dmart.in/product/colgate-visible-white-purple-toothpaste-pcolgate1xx291124?selectedProd=IwNhFYAYBYQHwA4FMBOBnA9gOwIYBsBaAYxxSQICMkcBXAFwE8B6DFfY08nJNIg1-CTJM6GDHQAWCHGjpcefUeKky5vAExA
Sensodyne Fresh Mint Toothpaste : 150 g,Sensodyne,150 g,218.0,245.0,27.0,(₹ 1.82 / 1 g),True,https://cdn.dmart.in/images/products/JUL140000714xx3JUL25vvG150g_5_P.jpg,https://www.dmart.in/product/sensodyne-fresh-mint-toothpaste?selectedProd=IwJg7GDMA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Vicco Vajradanti - Ayurvedic Medicine For Gums & Teeth : 200 g,Vicco,200 g,105.0,150.0,45.0,(₹ 0.53 / 1 g),True,https://cdn.dmart.in/images/products/JUL140000716xx24JUL22_5_P.jpg,https://www.dmart.in/product/vicco-vajradanti-ayurvedic-medicine-for-gum-and-teeth?selectedProd=IwJg7GCsA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Colgate Visible White Toothpaste : 200 g,Colgate,200 g,246.0,390.0,144.0,(₹ 1.23 / 1 g),True,https://cdn.dmart.in/images/products/FEB140000696xx23FEB26_5_P.jpg,https://www.dmart.in/product/colgate-visible-white-toothpaste?selectedProd=IwJg7ArBA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Closeup Twin Saver Pack 18 Hours Fresh Breath : 2 x 200 g,Closeup,2 x 200 g,219.0,311.0,92.0,,True,https://cdn.dmart.in/images/products/AUG140006721xx6AUG25_5_P.jpg,https://www.dmart.in/product/closeup-twin-saver-pack-18-hours-fresh-breath-ptoothpastes68xx7825?selectedProd=IwdhGYAYCYE4B8AOBTATgZwPYDsCGAbAWgGNdVlCAjZXAVwBcBPAek1QJLIt2XWMLYFS5ZvUyZ6AC0S509br35iJ02fL7QgA
Colgate Active Salt Toothpaste : 300 g,Colgate,300 g,202.0,214.0,12.0,(₹ 0.67 / 1 g),True,https://cdn.dmart.in/images/products/FEB140000674xx20FEB26vvG300gm_5_P.jpg,https://www.dmart.in/product/colgate-active-salt-toothpaste?selectedProd=IwJg7AzBA+AOCmAnAzgewHYEMA2BaAxpovLgEbyYCuALgJ4D0qiOBRJm8y+uTOhx9aqlTUAFrEzJq7TtyEjxk6VxBA
Colgate Charcoal Clean Bamboo & Mint Toothpaste : 240 g,Colgate,240 g,279.0,420.0,141.0,(₹ 1.16 / 1 g),True,https://cdn.dmart.in/images/products/FEB140002125xx25FEB26_5_P.jpg,https://www.dmart.in/product/colgate-charcoal-clean-bamboo-mint-toothpaste?selectedProd=OwZgjCBsBMA+AOBTATgZwPYDsCGAbAtAMbbKL4BGi2ArgC4CeA9OsnkSWdoqofi3sVKNa6dLQAW8bKlqduvEWMnTZPaEA
Pepsodent 2-In-1 Toothpaste : 150 g,Pepsodent,150 g,96.0,118.0,22.0,(₹ 0.64 / 1 g),True,https://cdn.dmart.in/images/products/FEB140000706xx29FEB24_5_P.jpg,https://www.dmart.in/product/pepsodent-2-in-1-toothpaste?selectedProd=IwJg7AbArAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7iCA
Dabur Meswak Toothpaste : 3 U x 150 g,Dabur,3 U x 150 g,266.0,423.0,157.0,,True,https://cdn.dmart.in/images/products/FEB140007253xx19FEB26vvG_5_P.jpg,https://www.dmart.in/product/dabur-meswak-toothpaste-ptoothpastes-mouthwash1xx18226?selectedProd=IwDhCYAZwFgHwA4FMBOBnA9gOwIYBsBaAYxxSQICMkcBXAFwE8B6DFfY08nJNIg1-CTJM6GDHQAWCHGjpcefUeKky5vcEA
Colgate Cibaca Toothpaste : 2x175 g,Colgate,175 g x 2 U,121.0,123.0,2.0,,True,https://cdn.dmart.in/images/products/SEP140000676xx22SEP25vvG_5_P.jpg,https://www.dmart.in/product/colgate-cibaca-toothpaste?selectedProd=IwJg7AzArAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7iCA
Colgate Kids Toothpaste - Strawberry : 80 g,Colgate,80 g,138.0,190.0,52.0,(₹ 1.73 / 1 g),True,https://cdn.dmart.in/images/products/MAR140000689xx14MAR26vvF80g_5_P.jpg,https://www.dmart.in/product/colgate-kids-toothpaste-strawberry?selectedProd=IwJg7ALAHAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7iCA
Colgate Kids Toothpaste Bubble Fruit Flavour : 80 g,Colgate,80 g,143.0,190.0,47.0,(₹ 1.79 / 1 g),True,https://cdn.dmart.in/images/products/FEB140000675xx20FEB26vvG80g_5_P.jpg,https://www.dmart.in/product/colgate-kids-toothpaste-bubble-fructis?selectedProd=IwJg7AzALAPgDgUwE4GcD2A7AhgGwLQDGWSCeARglgK4AuAngPRpK6HGlYIoF7O5EkGNNGhoALOFhQ0OXHsNESpM7iCA
Sensodyne Whitening Fluoride Toothpaste : 70 g,Sensodyne,70 g,144.0,155.0,11.0,(₹ 2.06 / 1 g),True,https://cdn.dmart.in/images/products/JUL140002830xx3JUL25vvG70g_5_P.jpg,https://www.dmart.in/product/sensodyne-whitening-fluoride-toothpaste-ptoothpast0sens23xx170620?selectedProd=OwFgzAHADATAPgBwKYCcDOB7AdgQwDYC0AxjikgQEZI4CuALgJ4D0GK+xp5OSaRBr+EmSZ0MGOgAsEONHS48+o8VJlzeMIA
Colgate Active Salt Neem Toothpaste : 400 g,Colgate,400 g,201.0,347.0,146.0,(₹ 0.54 / 1 g),True,https://cdn.dmart.in/images/products/MAY140004155xx21MAY22_5_P.jpg,https://www.dmart.in/product/colgate-active-salt-neem-toothpaste-ptoothpast0colg15xx230522?selectedProd=IwBgbAHCIKwD4AcCmAnAzgewHYEMA2AtAMY4pIEBGSOArgC4CeA9BivsaeTkmkQa-hJkmdDBjoALBDjR0uPPqPFSZc3gCYgA
Sensodyne Sensitive Gum Toothpaste : 70 g,Sensodyne,70 g,198.0,215.0,17.0,(₹ 2.83 / 1 g),True,https://cdn.dmart.in/images/products/JUL140004316xx3JUL25vvG70g_5_P.jpg,https://www.dmart.in/product/sensodyne-sensitive-gum-toothpaste-ptoothpast0sens7xx1122?selectedProd=IzBsYVlAfAHBTATgZwPYDsCGAbAtAY00XlwCN5MBXAFwE8B6VRHAokzeZfXJnQ4+tVSpqAC1iZk1dp25CR4ydK4AmIA
Vithoba Premium Herbal Toothpaste : 150 g,Vithoba,150 g,91.0,135.0,44.0,(₹ 0.61 / 1 g),True,https://cdn.dmart.in/images/products/FEB140003991xx4FEB26vvF150g_5_P.jpg,https://www.dmart.in/product/vithoba-prem-herbal-toothpaste-ptoothpast0vith23xx190522?selectedProd=IwBmE4XcB8AcCmAnAzgewHYEMA2BaAYyyQTwCMEsBXAFwE8B6NJXQ40rBFAvZ3Ikgxpo0NABZwsKGhy49hoiVJncATEA
Sensodyne Pronamel Daily Protection Toothpaste : 70 g,Sensodyne,70 g,111.0,140.0,29.0,(₹ 1.59 / 1 g),True,https://cdn.dmart.in/images/products/JUL140007310xx3JUL25vvG70g_5_P.jpg,https://www.dmart.in/product/sensodyne-pronamel-daily-protection-toothpaste-ptoothpaste3xx24326?selectedProd=IwDgnArBBMAsA+AHApgJwM4HsB2BDANgLQDGuqyhARsrgK4AuAngPSaoElkW7LrGFsCpcs3qZM9ABaJc6et178xE6bPl9oQA
Vithoba Ayurvedic Dant Manjan : 80 g,Vithoba,80 g,53.0,75.0,22.0,(₹ 0.66 / 1 g),True,https://cdn.dmart.in/images/products/MAY140003992xx23MAY26vvG_5_P.jpg,https://www.dmart.in/product/vithoba-ayurvedic-dant-manjan-ptoothpast0vith21xx190522?selectedProd=IwBmE5RAfAHBTATgZwPYDsCGAbAtAY00XlwCN5MBXAFwE8B6VRHAokzeZfXJnQ4+tVSpqAC1iZk1dp25CR4ydK4AmIA
Sensodyne Pronamel Fresh Breath Toothpaste : 70 g,Sensodyne,70 g,126.0,140.0,14.0,(₹ 1.80 / 1 g),True,https://cdn.dmart.in/images/products/JUL140007309xx3JUL25vvG70g_5_P.jpg,https://www.dmart.in/product/sensodyne-pronamel-fresh-breath-toothpaste-ptoothpaste2xx24326?selectedProd=IwDgnArBBMDMA+AHApgJwM4HsB2BDANgLQDGuqyhARsrgK4AuAngPSaoElkW7LrGFsCpcs3qZM9ABaJc6et178xE6bPl9oQA
Mee Mee Fluoride-Free Strawberry Mild Toddler Toothpaste : 70 g,Mee,70 g,93.0,149.0,56.0,(₹ 1.33 / 1 g),True,https://cdn.dmart.in/images/products/MAR140007282xx3MAR26vvG70g_4_P.jpg,https://www.dmart.in/product/mee-mee-fluoride-free-strawberry-mild-toddler-toothpaste-ptoothpaste5xx30226?selectedProd=IwDhDYAYCYFYB8AOBTATgZwPYDsCGAbAWgGNdVlCAjZXAVwBcBPAek1QJLIt2XWMLYFS5ZvUyZ6AC0S509br35iJ02fL7QgA
Zandu Dant Veer Toothpaste : 300 g,Zandu,300 g,95.0,189.0,94.0,(₹ 0.32 / 1 g),True,https://cdn.dmart.in/images/products/NOV140006986xx20NOV25vvG300g_5_P.jpg,https://www.dmart.in/product/zandu-dant-veer-toothpaste-ptoothpaste2xx201125?selectedProd=IwDgzAbArATDA+AHApgJwM4HsB2BDANgLQDGuqyhARsrgK4AuAngPSaoElkW7LrGFsCpcs3qZM9ABaJc6et178xE6bPl8YQA
Dabur Herb'l Activated Whitening Charcoal Toothpaste : 120 g,Dabur,120 g,49.0,168.0,119.0,(₹ 0.41 / 1 g),True,https://cdn.dmart.in/images/products/MAY140007392xx7MAY26vvG_5_P.jpg,https://www.dmart.in/product/dabur-herbl-activated-whitening-charcoal-toothpaste-ptoothpaste27xx7526?selectedProd=IwTgTADArAzALAHwA4FMBOBnA9gOwIYA2AtAMZ5opEBGKeArgC4CeA9FmoaeZXihiUXaEyFFgyxYGACyR4MDHnwHjJMuQv5ggA
Mee Mee Fluoride-Free Orange Mild Toddler Toothpaste : 70 g,Mee,70 g,93.0,149.0,56.0,(₹ 1.33 / 1 g),True,https://cdn.dmart.in/images/products/MAR140007283xx3MAR26vvG70g_5_P.jpg,https://www.dmart.in/product/mee-mee-fluoride-free-orange-mild-toddler-toothpaste-ptoothpaste6xx30226?selectedProd=IwDhDYAYCZwHwA4FMBOBnA9gOwIYBsBaAYxxSQICMkcBXAFwE8B6DFfY08nJNIg1-CTJM6GDHQAWCHGjpcefUeKky5vaEA
